X,Y,Topography,Grav,Mag
689650,1579260,570.5855204,-78.95416994,109.3084564
690850,1579260,561.678772,-78.74908547,73.65236664
692050,1579260,561.9452922,-77.77219796,38.63579559
693250,1579260,556.490214,-76.53539133,16.69117928
694450,1579260,553.4453125,-76.11324239,57.83490753
695650,1579260,556.3549093,-75.43657374,71.93648529
696850,1579260,553.0251567,-74.534231,44.7709198
698050,1579260,547.8052979,-73.72023134,34.64427185
699250,1579260,544.037028,-73.43179812,46.40080261
700450,1579260,541.3647868,-73.61398978,48.73066711
701650,1579260,538.4499715,-72.58180957,53.1697998
702850,1579260,537.2032166,-71.71076145,101.0514526
704050,1579260,543.553243,-70.82243052,98.68538666
705250,1579260,549.0594889,-69.93470387,112.3224716
706450,1579260,556.7063192,-69.16995564,86.36908722
707650,1579260,561.6396993,-68.70674286,67.24342346
708850,1579260,565.9395142,-68.04856424,91.41952515
710050,1579260,570.1511841,-67.90591393,123.7554855
711250,1579260,574.5783793,-67.38525028,129.2372589
712450,1579260,577.1374003,-66.92153602,143.2857971
713650,1579260,577.0135905,-67.30872002,171.6220703
714850,1579260,581.3432922,-67.74003544,195.4700317
716050,1579260,587.554657,-67.46905866,266.1966248
717250,1579260,592.0015462,-67.09847856,297.3465271
718450,1579260,598.149231,-66.86443114,224.0979614
719650,1579260,604.6948649,-66.23847752,171.0149689
720850,1579260,617.0176188,-67.03255024,132.8418884
722050,1579260,629.4241638,-67.75881472,91.38892365
723250,1579260,633.1107992,-67.98712974,114.2303848
724450,1579260,641.4375305,-68.04019375,120.7459946
725650,1579260,649.3682149,-68.50999875,88.70487213
726850,1579260,708.8206177,-69.69192967,18.45813179
728050,1579260,701.7523193,-70.89483614,12.424263
729250,1579260,629.7533061,-71.52948327,66.30687714
730450,1579260,630.3284302,-71.88708539,61.20381927
731650,1579260,643.6010844,-72.08429103,-18.38049126
732850,1579260,638.164093,-72.46012745,3.55540657
734050,1579260,630.1828308,-73.38421969,53.67420959
735250,1579260,612.4596965,-74.13697329,79.02928162
736450,1579260,600.0316162,-73.41874371,78.9147644
737650,1579260,595.0201619,-74.04311838,-26.72267914
738850,1579260,594.8621216,-75.12987776,-43.04824066
740050,1579260,612.5540161,-75.96171947,8.043941498
741250,1579260,599.7174784,-76.7685348,10.67626953
742450,1579260,580.2922465,-78.24205012,16.87426186
743650,1579260,590.635671,-79.22766151,-32.01047897
744850,1579260,671.240214,-80.49730597,-64.93041229
746050,1579260,691.3674316,-81.32414412,-45.46707153
747250,1579260,587.767568,-81.12825136,-8.442651749
748450,1579260,568.325002,-81.06116486,-3.797868729
749650,1579260,559.4376221,-80.42522607,36.36318207
750850,1579260,554.0746969,-80.07232857,12.25906181
752050,1579260,546.4806824,-79.60929036,-24.36706352
753250,1579260,543.306956,-79.17078481,-9.708574295
754450,1579260,549.1084086,-79.34472532,16.96390724
755650,1579260,558.3245036,-78.76981664,-0.96585083
756850,1579260,563.102773,-77.93076515,-26.3395462
758050,1579260,569.4661967,-76.87118216,-29.38235092
759250,1579260,575.8647868,-76.73702016,-108.662384
760450,1579260,570.1234131,-78.57955203,-107.9930344
761650,1579260,563.3489176,-79.54842463,-143.295578
762850,1579260,566.7192586,-81.05157328,-71.34868622
764050,1579260,572.0515544,-82.02040496,-41.29969788
765250,1579260,577.9114787,-83.03063407,20.22910881
766450,1579260,578.3661804,-83.12680511,7.836284637
767650,1579260,579.5977478,-82.28737116,-40.88318634
768850,1579260,576.3740946,-80.35136414,-64.60188293
770050,1579260,568.3249613,-77.50144095,-132.2502899
771250,1579260,546.0300903,-71.64588475,-131.7402344
772450,1579260,520.775706,-70.37757335,-95.08641815
773650,1579260,500.8071645,-73.64515772,-38.58776855
774850,1579260,491.3109741,-77.50308609,-70.2040863
776050,1579260,476.5646769,-79.56416755,-74.4966507
777250,1579260,459.0563202,-82.69140673,-57.54260254
778450,1579260,446.6879781,-85.9323472,-46.32993317
779650,1579260,441.3047689,-88.62813215,-38.41516113
780850,1579260,476.9984843,-90.13691807,-84.42055511
782050,1579260,479.325709,-90.45998507,-60.35719299
783250,1579260,442.6526235,-90.20003986,-22.75335121
784450,1579260,439.0875448,-90.91515536,-14.4302187
785650,1579260,443.5933431,-90.74035196,-10.57386303
786850,1579260,441.3722636,-89.85218039,-27.55820465
788050,1579260,432.8866984,-89.46704378,-68.23490143
789250,1579260,431.9541372,-87.46220212,-95.11449432
790450,1579260,434.4056498,-86.15235524,-33.72399139
791650,1579260,431.4763336,-85.95898237,-11.02492619
792850,1579260,419.7211711,-85.67897439,54.02508545
794050,1579260,414.7566376,-85.07491183,1.921941757
608050,1580460,605.9644877,-95.10775433,-19.55693245
609250,1580460,613.8158976,-96.01187258,-27.77235794
610450,1580460,618.5380452,-96.76558342,-44.2904892
611650,1580460,622.9464417,-96.99408865,-42.41610718
612850,1580460,626.2047323,-96.98662291,-35.6202774
614050,1580460,630.6973775,-96.90666709,-22.48028946
615250,1580460,639.1996867,-96.84183497,-28.83633804
616450,1580460,644.8968201,-94.42923312,-56.02469635
617650,1580460,656.1388346,-92.53252187,-39.72624969
618850,1580460,674.2671814,-92.6569622,-69.69886017
620050,1580460,700.6912435,-92.46414928,-22.9993
621250,1580460,715.8182475,-92.45974388,-11.66119289
622450,1580460,731.4683126,-93.12321734,-15.95299339
623650,1580460,747.3551636,-91.88314509,-7.963540077
624850,1580460,765.2722677,-88.85079203,-4.980670929
626050,1580460,756.053009,-86.35324106,-4.47303009
627250,1580460,756.956838,-84.71653419,-6.932638168
628450,1580460,758.2414551,-85.20556455,-13.12437916
629650,1580460,747.0543111,-88.54226499,-15.13320923
630850,1580460,747.611969,-89.1321619,-9.627290726
632050,1580460,750.3200989,-89.70816131,-14.27626705
633250,1580460,741.5406392,-88.92902884,0.853054047
634450,1580460,732.2511088,-89.36115885,37.18578339
635650,1580460,726.6387126,-90.8852253,21.83009148
636850,1580460,717.5542704,-91.5868144,-1.961660385
638050,1580460,707.3409526,-91.97930188,-5.425431252
639250,1580460,699.6718241,-93.97390656,-12.80392647
640450,1580460,695.9170329,-95.86918526,-21.3690567
641650,1580460,689.6168518,-96.31556215,-22.44631958
642850,1580460,687.5749613,-93.83587127,-18.61205864
644050,1580460,690.1028137,-89.98904548,-14.70756531
645250,1580460,697.3664449,-85.13560338,-12.58235931
646450,1580460,703.074351,-76.04535513,-12.81015587
647650,1580460,720.8572489,-65.49466705,-8.577633858
648850,1580460,738.3587646,-61.98891582,-10.43654251
650050,1580460,742.5635783,-61.79688206,-7.566967964
651250,1580460,772.8783569,-63.49271979,-8.989926338
652450,1580460,774.2318827,-63.89370699,-11.45690632
653650,1580460,726.9392598,-62.04567072,-1.345986366
654850,1580460,704.5297241,-63.07199149,1.440361023
656050,1580460,696.4986165,-60.79063942,4.476026535
657250,1580460,688.2788595,-63.52785244,2.146755219
658450,1580460,680.8560791,-65.90552435,-8.016980171
659650,1580460,668.1499329,-66.60053787,-1.762578964
660850,1580460,661.1014303,-66.93783517,5.211471558
662050,1580460,668.4197489,-67.04244599,10.62792969
663250,1580460,673.6611735,-66.98979297,12.96666908
664450,1580460,676.3846944,-67.17482066,14.73404503
665650,1580460,664.5021362,-70.56955466,15.83699989
